timestamp,open,high,low,close,volume
45861,330.9,336.2,328.67,332.56,78970835
45860,329.74,335.4098,321.55,332.11,77370371
45859,334.4,338,326.88,328.49,75768797
45856,321.66,330.9,321.42,329.65,94254993
45855,323.15,324.34,317.0601,319.41,73922870
45854,312.8,323.5,312.62,321.67,97284786
45853,319.675,321.2,310.5,310.78,77556346
45852,317.73,322.5986,312.67,316.9,78043430
45849,307.89,314.09,305.65,313.51,79236442
45848,300.05,310.48,300,309.87,104365271
45847,297.55,300.15,293.55,295.88,75586771
45846,297,304.0499,294.35,297.81,103246742
45845,291.37,296.15,288.7701,293.94,131177949
45841,317.99,318.45,312.76,315.35,58042302
45840,312.63,316.832,303.82,315.65,119483730
45839,298.46,305.89,293.21,300.71,145085665
45838,319.9,325.5799,316.6,317.66,76695081
45835,324.51,329.3393,317.495,323.63,89067049
45834,324.61,331.05,323.61,325.78,80440907
45833,342.7,343,320.4,327.55,119845050
45832,356.17,356.26,340.44,340.47,114736245
45831,327.54,357.54,327.48,348.68,190716815
45828,327.95,332.36,317.78,322.16,108688008
45826,317.31,329.32,315.45,322.05,95137686
45825,326.09,327.26,314.74,316.35,88282669
45824,331.29,332.05,326.41,329.13,83925858
45821,313.97,332.99,313.3,325.31,128964279
45820,323.075,332.56,316.86,319.11,105127536
45819,334.395,335.5,322.5,326.43,122611360
45818,314.94,327.83,310.667,326.09,151256520
45817,285.955,309.83,281.85,308.58,140908876
45814,298.83,305.5,291.14,295.14,164747685
45813,322.49,324.5499,273.21,284.7,292818655
45812,345.095,345.6,327.3308,332.05,98912075
45811,346.595,355.4,343.04,344.27,99324544
45810,343.5,348.02,333.33,342.69,81873829
45807,355.52,363.68,345.29,346.46,123474938
45806,365.29,367.71,356,358.43,88545666
45805,364.84,365,355.91,356.9,91404309
45804,347.35,363.79,347.32,362.89,120146414
45800,337.92,343.18,333.21,339.34,84654818
45799,331.9,347.27,331.39,341.04,97113416
45798,344.43,347.35,332.2,334.62,102354844
45797,347.87,354.9899,341.63,343.82,131715548
45796,336.3,343,333.37,342.09,88869853
45793,346.24,351.62,342.33,349.98,95895665
45792,340.34,346.1393,334.7153,342.82,97882596
45791,342.5,350,337,347.68,136997264
45790,320,337.5894,316.8,334.07,136992574
45789,321.99,322.21,311.5,318.38,112826661
45786,290.21,307.04,290,298.26,132387835
45785,279.63,289.8,279.41,284.82,97539448
45784,276.88,277.92,271,276.22,71882408
45783,273.105,277.73,271.35,275.35,76715792
45782,284.57,284.849,274.4,280.26,94618882
45779,284.9,294.78,279.81,287.21,114454683
45778,280.01,290.8688,279.81,280.52,99658974
45777,279.9,284.45,270.78,282.16,128961057
45776,285.5,293.32,279.4695,292.03,108906553
45775,288.98,294.86,272.42,285.88,151731771
45772,261.69,286.85,259.63,284.95,167560688
45771,250.5,259.54,249.2,259.51,94464195
45770,254.86,259.4499,244.43,250.74,150381903
45769,230.96,242.79,229.8501,237.97,120858452
45768,230.26,232.21,222.79,227.5,97768007
45764,243.47,244.34,237.6833,241.37,83404775
45763,247.61,251.97,233.89,241.55,112378737
45762,249.91,258.75,247.54,254.11,79594318
45761,258.36,261.8,245.93,252.35,100135241
45758,251.84,257.74,241.3629,252.31,128948085
45757,260,262.49,239.33,252.4,181722604
45756,224.69,274.69,223.88,272.2,219433373
45755,245,250.44,217.8,221.86,171603472
45754,223.78,252,214.25,233.29,183453776
45751,255.38,261,236,239.43,181229353
45750,265.29,276.3,261.51,267.28,136174291
45749,254.6,284.99,251.27,282.76,212787817
45748,263.8,277.45,259.25,268.46,146486911
45747,249.31,260.56,243.3601,259.16,134008936
45744,275.575,276.1,260.57,263.55,123809389
45743,272.48,291.85,271.8216,273.13,162572146
45742,282.66,284.9,266.51,272.06,156254441
45741,283.6,288.2,271.28,288.14,150361538
45740,258.075,278.64,256.33,278.39,169079865
45737,234.985,249.52,234.55,248.71,132728684
45736,233.345,238,230.0501,236.26,99028270
45735,231.61,241.41,229.201,235.86,111993753
45734,228.155,230.1,222.28,225.31,111477636
45733,245.055,245.4,232.8,238.01,111900565
45730,247.31,251.58,240.73,249.98,100242264
45729,248.125,248.29,232.6,240.68,114813525
45728,247.22,251.84,241.1,248.09,142215681
45727,225.305,237.0649,217.02,230.58,174896415
45726,252.54,253.37,220,222.15,185037825
45723,259.32,266.2499,250.73,262.67,102369640
45722,272.06,272.65,260.02,263.45,98451566
45721,272.92,279.55,267.71,279.1,94042913
45720,270.93,284.35,261.8401,272.04,126706623
45719,300.34,303.94,277.3,284.65,115551414
45716,279.5,293.88,273.6,292.98,115696968